p,Tu,phi,egr,Su,deltaL,completed
100000.0,400.0,1.0,0.45,0.7388294186862101,0.0003356578458697829,True
100000.0,400.0,1.0,0.5,0.547276440963767,0.0003831838509701891,True
100000.0,400.0,1.0,0.55,,,False
100000.0,400.0,1.0,0.6,,,False
100000.0,400.0,1.1,0.0,2.6734722180753634,0.00027411890382733975,True
100000.0,400.0,1.1,0.05,2.472445810507429,0.00027828104466903417,True
100000.0,400.0,1.1,0.1,2.2679959303599673,0.00028341416540017067,True
100000.0,400.0,1.1,0.15,2.0602731397962613,0.0002891965167129842,True
100000.0,400.0,1.1,0.2,1.8511199897198678,0.00029729269786782635,True
100000.0,400.0,1.1,0.25,1.641721801969337,0.00030004895433666327,True
100000.0,400.0,1.1,0.3,1.4317478544727849,0.0003124258233333382,True
100000.0,400.0,1.1,0.35,1.2240876577122208,0.0002956607496975779,True
100000.0,400.0,1.1,0.4,1.0184620121310854,0.00034058327136880014,True
100000.0,400.0,1.1,0.45,0.8181334975431268,0.0003661581851874187,True
100000.0,400.0,1.1,0.5,0.6240777901452189,0.00040598487296275365,True
100000.0,400.0,1.1,0.55,0.43389003909294854,0.00045629501100891823,True
100000.0,400.0,1.1,0.6,,,False
100000.0,400.0,1.2,0.0,2.7641922495428677,0.00027750606847121926,True
100000.0,400.0,1.2,0.05,2.5617710580347377,0.0002815800123723207,True
100000.0,400.0,1.2,0.1,2.3557027022502535,0.0002860144840039993,True
100000.0,400.0,1.2,0.15,2.1463751306702643,0.00029160972153586883,True
100000.0,400.0,1.2,0.2,1.9347911937731932,0.00029145876863114097,True
100000.0,400.0,1.2,0.25,1.7215458205478882,0.0003007300555385034,True
100000.0,400.0,1.2,0.3,1.5078880754764779,0.0003069991560644079,True
100000.0,400.0,1.2,0.35,1.2954286163794229,0.00029514875535164756,True
100000.0,400.0,1.2,0.4,1.0843599638834789,0.0003340291891379676,True
100000.0,400.0,1.2,0.45,0.8777560590117448,0.0003627601944213369,True
100000.0,400.0,1.2,0.5,0.677228453353198,0.00040188806244771354,True
100000.0,400.0,1.2,0.55,0.4845593436500641,0.00044944190463167043,True
100000.0,400.0,1.2,0.6,,,False
100000.0,400.0,1.3,0.0,2.825444715048426,0.00028197746239936396,True
100000.0,400.0,1.3,0.05,2.623184753490116,0.00028086749179850754,True
100000.0,400.0,1.3,0.1,2.4168065104524197,0.0002883520826564206,True
100000.0,400.0,1.3,0.15,2.2069892089082894,0.00028789968211993886,True
100000.0,400.0,1.3,0.2,1.9941908188357027,0.00029373319502694697,True
100000.0,400.0,1.3,0.25,1.77944632179315,0.00029590329977004817,True
100000.0,400.0,1.3,0.3,1.5633210651444989,0.0003077878526238974,True
100000.0,400.0,1.3,0.35,1.3472307438911333,0.0003163723375285694,True
100000.0,400.0,1.3,0.4,1.132760746849507,0.0003339090445686322,True
100000.0,400.0,1.3,0.45,0.9217298872705766,0.00035974013774016595,True
100000.0,400.0,1.3,0.5,0.7170229055906402,0.00038416824025764413,True
100000.0,400.0,1.3,0.55,0.5171938821689955,0.00042841235096758944,True
100000.0,400.0,1.3,0.6,,,False
100000.0,400.0,1.4,0.0,2.862788729473994,0.000283304533235669,True
100000.0,400.0,1.4,0.05,2.6617859330917377,0.00028683678965814763,True
100000.0,400.0,1.4,0.1,2.4562069480723308,0.00028435255586730805,True
100000.0,400.0,1.4,0.15,2.2465875456670283,0.000276273083942366,True
100000.0,400.0,1.4,0.2,2.0337898634209073,0.0002885617980195235,True
100000.0,400.0,1.4,0.25,1.818403953270139,0.00029910861068758944,True
100000.0,400.0,1.4,0.3,1.6013216363953793,0.00031018262893561647,True
